x,y,z,word
-1.750546484945481,-0.0072725623482663,-0.0036100716359289,aa
-0.9039679855091386,-0.0071704755102358,-0.0036622118736871,aabb
-0.3768693840433867,-0.0068112181623092,-0.0033981576278649,aabbaaaa
-0.1617209457531172,-0.0076515345792683,-0.0043609412359859,aachen
-0.1730691249569309,-0.0069373805099197,-0.00356051482795,aadd
-0.2308545184840317,-0.0076606102861079,-0.004357258164237,aam
-0.2337570780083792,-0.0068279872883371,-0.0034408585070542,aaron
-0.161956643149945,-0.0068259062833351,-0.0034516354955263,ab
-0.0320817883666177,-0.0072057447820211,-0.0038707107644903,abab
0.0917707758407342,-0.0076182567308841,-0.0043744459370534,ababab
0.179178978653876,-0.0068911381359609,-0.003579280747682,abandon
0.2398785609454526,-0.0067302528176617,-0.0034310147030734,abandoned
0.2893183317396169,-0.0067237624708122,-0.00343364859311,abandoning
0.3486261368421051,-0.0069521871333945,-0.0036728442975164,abandonment
0.4229160273832008,-0.0067274556791429,-0.0034617715298752,abbreviated
0.501897616671536,-0.0066958555191808,-0.0034449736953819,abc
0.5742001150877555,-0.0070451814114382,-0.003817158739614,abcabcabc
0.628757839927594,-0.0066792015817311,-0.0034517321384874,abdominal
0.6618033573440582,-0.0079449917254616,-0.0051454894904968,abe
0.6750068462313736,-0.0067522761853863,-0.0035319873529342,abelson
0.6703975045347788,-0.0066737352160572,-0.0034539504800366,abiding
0.6521880392542208,-0.0070832626404044,-0.003872336758519,abilities
0.6243883671716633,-0.0068859097796018,-0.0036559707502402,ability
0.5905637568841405,-0.0072052709864468,-0.0039958604349734,abject
0.5542738189278286,-0.0066960321640119,-0.0034547451967558,abjecti
0.5191252919097622,-0.006809205677286,-0.0035603296026785,abjection
0.4865378586988294,-0.0066978719151949,-0.0034441554085485,able
0.4567691905377455,-0.0067958482595093,-0.003534620961531,ably
0.4293384781544347,-0.007145170521158,-0.0038952928008369,abnegation
0.402670543336569,-0.006773170243663,-0.0035033353430029,abnormal
0.3752485241092608,-0.0067124817398468,-0.0034382265002054,abode
0.3461359473331953,-0.0067163035763546,-0.0034366755357759,abolish
0.3142258888645062,-0.0067204926602464,-0.0034349755362873,abound
0.2785170584283675,-0.0068481928894348,-0.0035548841746628,abp
0.2385062114358636,-0.0067304329767558,-0.0034309415915351,absence
0.1938680634838759,-0.0067649281901443,-0.0034563926821541,absences
0.1444181636481081,-0.0067427846534469,-0.0034259290769615,absolute
0.0905254844985601,-0.0068223030081549,-0.0034931761103938,absolving
0.0328473094314351,-0.006814774067543,-0.0034762386666341,absorb
-0.0279630761990731,-0.0073544096906991,-0.0040380454809056,absorbed
-0.0904742084558887,-0.0068529399921445,-0.0034910680377329,abstaining
-0.1536397285584188,-0.006781913052923,-0.0034100501256644,abstrac
-0.2164318376378341,-0.006847466956959,-0.0034629838691072,abstract
-0.2777141996048414,-0.00679820128281,-0.003403440092733,abstracting
-0.3364437209254537,-0.0068059111681422,-0.0034003112938213,abstraction
-0.3915917660751761,-0.0068564061507828,-0.0034391200695999,abstractions
