x,y,z,word
-0.9039679855091386,-0.0071704755102358,-0.0036622118736871,aabb
-0.5842879571075128,-0.0068671679937753,-0.0034148689958012,absurdity
-0.5622479979262743,-0.0068355542683081,-0.0033882816337756,academiccategory
-0.3366383729838003,-0.0068271683483206,-0.0034213064804794,accessvalidation
-0.0611058372665653,-0.0067697654025563,-0.003414979842983,accountability
-0.001391039374966,-0.0067619261722335,-0.0034181611322299,achievements
0.0790181056228249,-0.0069875806962672,-0.0036584810046495,act
0.1440785008124674,-0.0068957460512508,-0.00357741077949,activated
0.1771659161974375,-0.0074972900790778,-0.0042574260492883,activist
0.169783896287109,-0.0067968942207212,-0.0034834566324465,actuators
-0.2062944652740418,-0.0104737899177018,-0.0100796027545229,administered
0.1301017157788742,-0.0067733911003916,-0.0034529226265885,algorists
-0.3234885069652747,-0.006804210435498,-0.0034010014792413,alism
-0.4836194087166229,-0.0068252320761123,-0.0033924705499938,allegiances
-0.4492989414939123,-0.0068207265589399,-0.0033942989633382,allow
-0.4323498385763398,-0.0068185015171374,-0.0033952019220814,allowing
-0.1024229410915817,-0.0067751894231441,-0.0034127786857698,ambitious
-0.3923565233531842,-0.0068276029197981,-0.0034111395830616,annihilate
-0.1037601021522067,-0.0067753649627742,-0.0034127074488863,antiquarian
0.0257099310686678,-0.0067583684150815,-0.0034196049288917,anywhere
0.2266291027835767,-0.0075388791052624,-0.0043009162202097,apolitical
0.928934193435724,-0.0086022443151443,-0.0059767352401422,appeared
1.0846832402527888,-0.0074879093166125,-0.0044273430724007,appendix
1.160531545410307,-0.0066093914726111,-0.0034800622347246,appetizingly
1.4622999226917657,-0.0068279069714059,-0.0037568774602835,applies
-0.6083275348616507,-0.0068632600916558,-0.0034064950964305,architects
-0.6203206681995622,-0.0068431779236466,-0.0033851878284208,arise
-0.5344371925605712,-0.0068893527635911,-0.0034459315432535,arnolds
-0.514578361148333,-0.0069087501028496,-0.0034683662659574,arranged
-0.2276234425048463,-0.0067916254758775,-0.0034061086638838,asher
-0.1982176286540823,-0.0067877651438367,-0.0034076752504369,aspects
-0.2212990125141321,-0.0073615458317969,-0.0040094476375281,assent
-0.4330371009138976,-0.010503556203573,-0.0100675231036817,associated
-0.91166381571771,-0.0096786125979333,-0.0065006153624039,atom
0.1411076280337035,-0.0068289298800893,-0.0035113712116323,attitudes
0.2856587330473799,-0.006724242895063,-0.0034334536290076,audi
0.4016222666076424,-0.0067090194516165,-0.0034396315540007,audience
1.7744520069415584,-0.006695310954279,-0.0036804804106203,autodesk
1.672614842344184,-0.0066733190810558,-0.00363597461293,autoencoder
-0.5464483843415201,-0.0068334801289946,-0.0033891233537944,banhams
-0.5816880127940179,-0.0068453149110342,-0.0033941035224374,basic
-0.5247957587457839,-0.0068306376188442,-0.0033902768913999,beginner
-0.3639962764641233,-0.0068095282084149,-0.0033988434390892,beneficent
-0.1585270231260497,-0.0068979243502911,-0.0035244226205703,benjamin
-0.0611297440806426,-0.0067769055981782,-0.00342189277038,bernheimjeune
0.797650665470933,-0.0066570296945934,-0.0034607298567877,bifo
0.9101364073252712,-0.0066422628081672,-0.003466722503395,bigger
1.0639719124781626,-0.0067158641916157,-0.003567187504224,bishop
-0.2908769077491144,-0.0068215125490188,-0.0034234653595187,boxing
0.5334499259090929,-0.0066917133998392,-0.0034466546358797,businessmay
0.0238801317225493,-0.0067586086272069,-0.0034195074468405,buyer
-0.4028091356712145,-0.0068146234771516,-0.0033967756948114,calling
-0.3813528404080311,-0.0068189878074082,-0.0034047981249664,campaign
-0.4212420181867613,-0.0068170433063506,-0.0033957936881229,candlesticksit
-0.4513089809575564,-0.0105298920623801,-0.0105833875566165,canvas
-0.4372732222790156,-0.006934311148512,-0.0035097385628017,capitalisms
-0.2879344533610756,-0.0082087215695813,-0.005146568841996,cartoondrawing
-0.336965682918417,-0.0068059796901908,-0.0034002834864413,cartridges
2.04680541523751,-0.0064930433438394,-0.0035272782286065,catalyst
1.1658651528619712,-0.0068444658423984,-0.0037167393206777,chances
-0.3334961992104067,-0.0068126987133016,-0.0034073528823257,characters
-0.4200270212698553,-0.0068674154153755,-0.0034446522735743,charged
-0.5515683036657556,-0.0068341522609993,-0.0033888505915166,charles
-0.5155529261512878,-0.0068294242396467,-0.0033907693007353,cheatsheet
-0.4813333806695645,-0.0070831639394607,-0.0036532496960901,childs
-0.4863646399900945,-0.0071078308981428,-0.0036763995953244,christensen
-0.5405315612844538,-0.0068543682176019,-0.0034101003730308,claims
-0.1439570403518749,-0.0067806419304262,-0.0034105659681852,cloned
-0.0589371915121671,-0.0074154881530373,-0.0041056268740971,closeness
0.2535394013626589,-0.0067355532629825,-0.0034386909261835,clustered
1.2968137894707223,-0.0066053816329939,-0.0035015027266519,coexist
1.3586601073010844,-0.0065833815808417,-0.0034906174787463,coffins
1.5427132896063347,-0.0065592194746523,-0.0035004228608358,coils
-0.5908620716753524,-0.0068393106624099,-0.0033867572269561,colonialsettler
-0.5323886346191123,-0.0068388362192376,-0.0033967352982171,colours
-0.4290379133790764,-0.0071318336742632,-0.0037117734076932,combining
-0.3539233216976033,-0.0068296872221589,-0.0034201874571236,compiling
0.1347882581150099,-0.0067440488467478,-0.003425416046423,conductivity
0.5993626188228677,-0.0069346490903909,-0.0037019938055837,confidence
1.4433235155080308,-0.0065722671505785,-0.0034951278982678,confucian
1.6051551922926304,-0.0065510222358734,-0.0035037494358321,conjunction
0.8015448538229288,-0.0066565184739163,-0.0034609373185889,consciousness
-0.2890056715265373,-0.0069514089302302,-0.003555302404541,considerations
