x,y,z,word
-1.750546484945481,-0.00727256234826636,-0.003610071635928926,aa
-0.9039679855091386,-0.007170475510235899,-0.0036622118736871464,aabb
-0.37686938404338677,-0.006811218162309226,-0.0033981576278649915,aabbaaaa
-0.1617209457531172,-0.007651534579268312,-0.004360941235985954,aachen
-0.1730691249569309,-0.006937380509919755,-0.003560514827950066,aadd
-0.23085451848403177,-0.007660610286107957,-0.004357258164237032,aam
-0.2337570780083792,-0.0068279872883371,-0.0034408585070542165,aaron
-0.16195664314994504,-0.006825906283335174,-0.003451635495526364,ab
-0.03208178836661777,-0.007205744782021143,-0.0038707107644903585,abab
0.0917707758407342,-0.007618256730884109,-0.004374445937053458,ababab
0.17917897865387603,-0.006891138135960928,-0.0035792807476820307,abandon
0.23987856094545262,-0.006730252817661763,-0.0034310147030734467,abandoned
0.28931833173961696,-0.006723762470812295,-0.00343364859311002,abandoning
0.3486261368421051,-0.006952187133394571,-0.0036728442975164483,abandonment
0.4229160273832008,-0.006727455679142905,-0.0034617715298752103,abbreviated
0.501897616671536,-0.006695855519180883,-0.0034449736953819973,abc
0.5742001150877555,-0.007045181411438296,-0.0038171587396140763,abcabcabc
0.628757839927594,-0.006679201581731191,-0.003451732138487497,abdominal
0.6618033573440582,-0.007944991725461651,-0.005145489490496829,abe
0.6750068462313736,-0.006752276185386348,-0.0035319873529342577,abelson
0.6703975045347788,-0.006673735216057259,-0.0034539504800366184,abiding
0.6521880392542208,-0.007083262640404432,-0.0038723367585190055,abilities
0.6243883671716633,-0.006885909779601803,-0.00365597075024026,ability
0.5905637568841405,-0.007205270986446825,-0.003995860434973467,abject
0.5542738189278286,-0.00669603216401191,-0.0034547451967558503,abjecti
0.5191252919097622,-0.006809205677286029,-0.0035603296026785088,abjection
0.48653785869882943,-0.006697871915194973,-0.0034441554085485942,able
0.45676919053774556,-0.0067958482595093465,-0.0035346209615310653,ably
0.4293384781544347,-0.007145170521158056,-0.0038952928008369977,abnegation
0.402670543336569,-0.006773170243663081,-0.0035033353430029167,abnormal
0.3752485241092608,-0.006712481739846878,-0.003438226500205477,abode
0.3461359473331953,-0.006716303576354682,-0.0034366755357759233,abolish
0.31422588886450625,-0.006720492660246493,-0.0034349755362873637,abound
0.27851705842836755,-0.006848192889434804,-0.0035548841746628475,abp
0.23850621143586367,-0.006730432976755808,-0.0034309415915351506,absence
0.19386806348387595,-0.006764928190144343,-0.0034563926821541877,absences
0.14441816364810814,-0.006742784653446918,-0.0034259290769615503,absolute
0.0905254844985601,-0.006822303008154974,-0.003493176110393837,absolving
0.032847309431435164,-0.0068147740675430085,-0.0034762386666341025,absorb
-0.027963076199073192,-0.0073544096906991135,-0.004038045480905693,absorbed
-0.0904742084558887,-0.006852939992144556,-0.003491068037732975,abstaining
-0.15363972855841887,-0.006781913052923055,-0.003410050125664442,abstrac
-0.2164318376378341,-0.006847466956959073,-0.0034629838691072265,abstract
-0.2777141996048414,-0.006798201282810054,-0.0034034400927330033,abstracting
-0.3364437209254537,-0.006805911168142274,-0.003400311293821326,abstraction
-0.39159176607517615,-0.0068564061507828036,-0.003439120069599907,abstractions
-0.4419223403773529,-0.006912638913047245,-0.003487695905070709,abstracttechnical
-0.4868274223138243,-0.006825653217242409,-0.0033922996439618067,abstractthe
-0.5256989289358552,-0.006830756185085625,-0.0033902287752593315,abstruse
-0.5582460913134277,-0.0068565298403027745,-0.0034092866941783685,absurd
-0.5842879571075128,-0.0068671679937753255,-0.0034148689958012333,absurdity
-0.6038143206906316,-0.006891394717077294,-0.003434978911080985,abu
-0.6167838270410437,-0.007046910668264998,-0.003591429428699463,abundant
-0.6239157547353656,-0.006843649878880177,-0.0033849963011856493,aburnsliuedu
-0.6259273610677971,-0.006843913958235976,-0.0033848891334178526,abused
-0.6238736329599399,-0.0069233195705842646,-0.003462366396966743,abuser
-0.6188075648941179,-0.006842979286696799,-0.0033852684385785054,abusive
-0.6116920269716398,-0.007354526137944672,-0.0039219252243255474,abyss
-0.6032777294180861,-0.006840940563273621,-0.0033860957862435867,aca
-0.5941287326874934,-0.0068397395026466735,-0.0033865831964994503,acad
-0.5849455701216547,-0.0069470851488924725,-0.003493907861074812,academe
-0.5762647300968619,-0.006837394354781486,-0.0033875348962682707,academia
-0.5686053777057375,-0.00683638885146175,-0.0033879429461363213,academic
-0.5622479979262743,-0.006835554268308151,-0.0033882816337756517,academiccategory
-0.5572894286606637,-0.006952416713559097,-0.0035014538050903484,academicization
-0.5536046344771316,-0.007141080246343744,-0.003696367164313658,academics
-0.5512516076250812,-0.006834110685823839,-0.0033888674634101027,academicstudent
-0.5502482446586029,-0.006986895774087024,-0.0035404207152645965,academy
-0.5503367079520219,-0.006833990579761141,-0.003388916204435688,academys
-0.5510522064142863,-0.006834084508861457,-0.0033888780864541404,accelerate
-0.5516457011179626,-0.007055356525416887,-0.003608984436589574,accelerated
-0.5513693035920563,-0.0071155604561472605,-0.003673605564721102,acceleration
-0.5498557991495164,-0.0068339274470871625,-0.0033889418247183686,accelerometer
-0.5466151633864992,-0.006876880815772907,-0.003430762912479772,accelerometers
-0.5414457598471638,-0.006832823395203162,-0.0033893898672227966,accent
-0.5342072918709999,-0.006984548223471827,-0.0035414710759996346,accentuation
-0.5247781645213022,-0.006830635309112272,-0.0033902778287273885,accept
-0.5131211221479136,-0.006857748929158559,-0.00341872110472013,acceptable
-0.4993433374156639,-0.0072670858738999025,-0.003845817535442148,acceptably
-0.4836252734581168,-0.006825232846022978,-0.0033924702375513595,acceptance
